Ensembl_ID	External_Gene_Name
ENSMUSG00000000001.4	GNAI3
ENSMUSG00000000003.13	PBSN
ENSMUSG00000000028.12	CDC45
ENSMUSG00000000031.13	H19
ENSMUSG00000000037.14	SCML2
ENSMUSG00000000049.9	APOH
ENSMUSG00000000056.7	NARF
ENSMUSG00000000058.6	CAV2
ENSMUSG00000000078.6	KLF6
ENSMUSG00000000085.14	SCMH1
ENSMUSG00000000088.6	COX5A
ENSMUSG00000000093.6	TBX2
ENSMUSG00000000094.10	TBX4
ENSMUSG00000000103.10	ZFY2
ENSMUSG00000000120.6	NGFR
ENSMUSG00000000125.5	WNT3
ENSMUSG00000000126.9	WNT9A
ENSMUSG00000000127.12	FER
ENSMUSG00000000131.13	XPO6
ENSMUSG00000000134.15	TFE3
ENSMUSG00000000142.13	AXIN2
ENSMUSG00000000148.15	BRAT1
ENSMUSG00000000149.8	GNA12
ENSMUSG00000000154.13	SLC22A18
ENSMUSG00000000157.13	ITGB2L
ENSMUSG00000000159.13	IGSF5
ENSMUSG00000000167.12	PIH1D2
ENSMUSG00000000168.7	DLAT
ENSMUSG00000000171.4	SDHD
ENSMUSG00000000182.8	FGF23
ENSMUSG00000000183.6	FGF6
ENSMUSG00000000184.10	CCND2
ENSMUSG00000000194.11	GPR107
ENSMUSG00000000197.7	NALCN
ENSMUSG00000000202.7	BTBD17
ENSMUSG00000000204.13	SLFN4
ENSMUSG00000000214.8	TH
ENSMUSG00000000215.8	INS2
ENSMUSG00000000216.8	SCNN1G
ENSMUSG00000000223.11	DRP2
ENSMUSG00000000244.14	TSPAN32
ENSMUSG00000000247.9	LHX2
ENSMUSG00000000248.14	CLEC2G
ENSMUSG00000000253.10	GMPR
ENSMUSG00000000263.13	GLRA1
ENSMUSG00000000266.9	MID2
ENSMUSG00000000275.14	TRIM25
ENSMUSG00000000276.9	DGKE
ENSMUSG00000000278.10	SCPEP1
ENSMUSG00000000282.10	MNT
ENSMUSG00000000290.11	ITGB2
ENSMUSG00000000295.10	HDDC2
ENSMUSG00000000296.7	TPD52L1
ENSMUSG00000000301.14	PEMT
ENSMUSG00000000303.10	CDH1
ENSMUSG00000000305.10	CDH4
ENSMUSG00000000308.12	CKMT1
ENSMUSG00000000317.9	BCL6B
ENSMUSG00000000318.14	CLEC10A
ENSMUSG00000000320.8	ALOX12
ENSMUSG00000000325.13	ARVCF
ENSMUSG00000000326.10	COMT
ENSMUSG00000000339.12	RTCA
ENSMUSG00000000340.8	DBT
ENSMUSG00000000346.8	DAZAP2
